project,classifier,fold,balanced_acc,feature_extraction
gcc,knn,0,0.5296223263291425,bert
gcc,knn,1,0.5505103549633028,bert
gcc,knn,2,0.5540023123874056,bert
gcc,knn,3,0.5339755281412015,bert
gcc,knn,4,0.5279874822557749,bert
gcc,knn,5,0.5383759194734804,bert
gcc,knn,6,0.5432542634130604,bert
gcc,knn,7,0.5379760453274045,bert
gcc,knn,8,0.5381526104417671,bert
gcc,knn,9,0.5540805041682425,bert
gcc,knn,10,0.5685194444892494,bert
gcc,knn,11,0.5340850432313846,bert
gcc,knn,12,0.5508138424008217,bert
gcc,knn,13,0.5117386122288039,bert
gcc,knn,14,0.5713317944600562,bert
gcc,knn,15,0.5623109346102564,bert
gcc,knn,16,0.5270671834625322,bert
gcc,knn,17,0.5438436447057137,bert
gcc,knn,18,0.5566112878139615,bert
gcc,knn,19,0.534736559139785,bert
gcc,knn,20,0.5644472251453445,bert
gcc,knn,21,0.5629183400267738,bert
gcc,knn,22,0.5587282627410468,bert
gcc,knn,23,0.5372437376002065,bert
gcc,knn,24,0.5491737758979138,bert
gcc,knn,25,0.5506467372589532,bert
gcc,knn,26,0.5492269635126779,bert
gcc,knn,27,0.5421686746987951,bert
gcc,knn,28,0.5446196859989964,bert
gcc,knn,29,0.5537480126687326,bert
gcc,knn,30,0.548673708436322,bert
gcc,knn,31,0.5374478633612292,bert
gcc,knn,32,0.5460925291393672,bert
gcc,knn,33,0.5595716198125837,bert
gcc,knn,34,0.5379242482901019,bert
gcc,knn,35,0.52352688172043,bert
gcc,knn,36,0.5328320001148914,bert
gcc,knn,37,0.5441767068273092,bert
gcc,knn,38,0.5554453847808937,bert
gcc,knn,39,0.535050432276657,bert
gcc,knn,40,0.5282876111827278,bert
gcc,knn,41,0.5628023046388473,bert
gcc,knn,42,0.5483421368094333,bert
gcc,knn,43,0.5420542635658915,bert
gcc,knn,44,0.5428370585028548,bert
gcc,knn,45,0.5599264844384886,bert
gcc,knn,46,0.5275439815188769,bert
gcc,knn,47,0.5322154192447079,bert
gcc,knn,48,0.5414408602150538,bert
gcc,knn,49,0.5566255557149004,bert
gcc,nb,0,0.5279339281901485,bert
gcc,nb,1,0.5469436951670863,bert
gcc,nb,2,0.5627544298351752,bert
gcc,nb,3,0.5472293231462997,bert
gcc,nb,4,0.5334720609110852,bert
gcc,nb,5,0.5588140405213575,bert
gcc,nb,6,0.5220962639686707,bert
gcc,nb,7,0.526943627626766,bert
gcc,nb,8,0.5461847389558233,bert
gcc,nb,9,0.5713225633571066,bert
gcc,nb,10,0.5548789995214822,bert
gcc,nb,11,0.547877145438121,bert
gcc,nb,12,0.5550018013690405,bert
gcc,nb,13,0.5420534282052891,bert
gcc,nb,14,0.5259774473820038,bert
gcc,nb,15,0.5497035884790182,bert
gcc,nb,16,0.5272448320413436,bert
gcc,nb,17,0.5498888809233637,bert
gcc,nb,18,0.5480649692429405,bert
gcc,nb,19,0.535010752688172,bert
gcc,nb,20,0.5461436000953726,bert
gcc,nb,21,0.5307898259705489,bert
gcc,nb,22,0.540337680785124,bert
gcc,nb,23,0.5352893419574065,bert
gcc,nb,24,0.5565201806581117,bert
gcc,nb,25,0.5470202737603306,bert
gcc,nb,26,0.5529375386518244,bert
gcc,nb,27,0.5287817938420348,bert
gcc,nb,28,0.5399293856190408,bert
gcc,nb,29,0.5523938491761201,bert
gcc,nb,30,0.5658440713449684,bert
gcc,nb,31,0.5287027095816701,bert
gcc,nb,32,0.5426678470559562,bert
gcc,nb,33,0.5227576974564927,bert
gcc,nb,34,0.5523615950445219,bert
gcc,nb,35,0.5300430107526881,bert
gcc,nb,36,0.5410000574456779,bert
gcc,nb,37,0.5642570281124497,bert
gcc,nb,38,0.53784874130388,bert
gcc,nb,39,0.5497802593659942,bert
gcc,nb,40,0.536729520056369,bert
gcc,nb,41,0.5578462558579225,bert
gcc,nb,42,0.5526806719517477,bert
gcc,nb,43,0.5535206718346253,bert
gcc,nb,44,0.5412356898975698,bert
gcc,nb,45,0.549932458250588,bert
gcc,nb,46,0.5478936796928429,bert
gcc,nb,47,0.5558203152345411,bert
gcc,nb,48,0.5544408602150538,bert
gcc,nb,49,0.5220762225727807,bert
gcc,nn,0,0.5174599386722121,bert
gcc,nn,1,0.5420014517559975,bert
gcc,nn,2,0.5202253233309134,bert
gcc,nn,3,0.5537906966724591,bert
gcc,nn,4,0.5454413472706157,bert
gcc,nn,5,0.5452639050200025,bert
gcc,nn,6,0.5443610033247005,bert
gcc,nn,7,0.5405938463745249,bert
gcc,nn,8,0.5341365461847389,bert
gcc,nn,9,0.5267543631667531,bert
gcc,nn,10,0.5326252345543602,bert
gcc,nn,11,0.5556362111240161,bert
gcc,nn,12,0.5603709565538466,bert
gcc,nn,13,0.5316948803197448,bert
gcc,nn,14,0.5572883810288467,bert
gcc,nn,15,0.5514526673452711,bert
gcc,nn,16,0.5606912144702842,bert
gcc,nn,17,0.5292744999641552,bert
gcc,nn,18,0.5256524102448187,bert
gcc,nn,19,0.5425161290322581,bert
gcc,nn,20,0.5334027711795889,bert
gcc,nn,21,0.5240963855421686,bert
gcc,nn,22,0.567724474862259,bert
gcc,nn,23,0.565207456274766,bert
gcc,nn,24,0.5511022295505055,bert
gcc,nn,25,0.5086088154269972,bert
gcc,nn,26,0.55098814229249,bert
gcc,nn,27,0.5662650602409638,bert
gcc,nn,28,0.5690031543479819,bert
gcc,nn,29,0.5521554590443961,bert
gcc,nn,30,0.5491065747281366,bert
gcc,nn,31,0.5370893819601404,bert
gcc,nn,32,0.5521945921922267,bert
gcc,nn,33,0.5261044176706827,bert
gcc,nn,34,0.5508130081300813,bert
gcc,nn,35,0.5389516129032258,bert
gcc,nn,36,0.550760437161609,bert
gcc,nn,37,0.5481927710843373,bert
gcc,nn,38,0.5509251954385713,bert
gcc,nn,39,0.5280997838616714,bert
gcc,nn,40,0.5312199127570807,bert
gcc,nn,41,0.5653936792681069,bert
gcc,nn,42,0.541137903951949,bert
gcc,nn,43,0.5443798449612403,bert
gcc,nn,44,0.5400664935586607,bert
gcc,nn,45,0.5461974802352928,bert
gcc,nn,46,0.5447461807294444,bert
gcc,nn,47,0.5401312849011595,bert
gcc,nn,48,0.5086559139784946,bert
gcc,nn,49,0.5456869353219561,bert
gcc,rf,0,0.5498014651922638,bert
gcc,rf,1,0.5643862746328043,bert
gcc,rf,2,0.5670484794708397,bert
gcc,rf,3,0.5669026726601658,bert
gcc,rf,4,0.5631049167634534,bert
gcc,rf,5,0.5580236159504453,bert
gcc,rf,6,0.5497163698930898,bert
gcc,rf,7,0.5708348275120132,bert
gcc,rf,8,0.5481927710843373,bert
gcc,rf,9,0.5875053100057537,bert
gcc,rf,10,0.571592173814862,bert
gcc,rf,11,0.5454574783843076,bert
gcc,rf,12,0.5662769376367831,bert
gcc,rf,13,0.5448511950102609,bert
gcc,rf,14,0.5710432557205941,bert
gcc,rf,15,0.5655779128614644,bert
gcc,rf,16,0.5530684754521964,bert
gcc,rf,17,0.5629865940210768,bert
gcc,rf,18,0.5551339802272202,bert
gcc,rf,19,0.5663172043010753,bert
gcc,rf,20,0.561714230396208,bert
gcc,rf,21,0.5622489959839357,bert
gcc,rf,22,0.5756392045454546,bert
gcc,rf,23,0.5636993187842423,bert
gcc,rf,24,0.5716574664850527,bert
gcc,rf,25,0.557022641184573,bert
gcc,rf,26,0.561420773843134,bert
gcc,rf,27,0.535475234270415,bert
gcc,rf,28,0.5676535952398021,bert
gcc,rf,29,0.5715430294187762,bert
gcc,rf,30,0.5706880512771797,bert
gcc,rf,31,0.5495492992584812,bert
gcc,rf,32,0.578321457756878,bert
gcc,rf,33,0.5495314591700133,bert
gcc,rf,34,0.5798651438895341,bert
gcc,rf,35,0.5374408602150538,bert
gcc,rf,36,0.5508107021297985,bert
gcc,rf,37,0.5823293172690763,bert
gcc,rf,38,0.5488721939324392,bert
gcc,rf,39,0.5539913544668589,bert
gcc,rf,40,0.5585133562706073,bert
gcc,rf,41,0.5388204406770549,bert
gcc,rf,42,0.5686841873513908,bert
gcc,rf,43,0.5634043927648579,bert
gcc,rf,44,0.5569427308983446,bert
gcc,rf,45,0.5746322876471253,bert
gcc,rf,46,0.5536097962876205,bert
gcc,rf,47,0.5603140498537988,bert
gcc,rf,48,0.5716827956989248,bert
gcc,rf,49,0.5613831923132081,bert
gcc,svm,0,0.5620508744323411,bert
gcc,svm,1,0.5844115459409082,bert
gcc,svm,2,0.5635691430722487,bert
gcc,svm,3,0.5879493329120651,bert
gcc,svm,4,0.5753968253968254,bert
gcc,svm,5,0.5703316556975093,bert
gcc,svm,6,0.5678866196488901,bert
gcc,svm,7,0.5702269956250448,bert
gcc,svm,8,0.5542168674698795,bert
gcc,svm,9,0.5918241146853698,bert
gcc,svm,10,0.5857729675091805,bert
gcc,svm,11,0.5707349335398115,bert
gcc,svm,12,0.5955003414535345,bert
gcc,svm,13,0.5772844993682174,bert
gcc,svm,14,0.5795166169639273,bert
gcc,svm,15,0.5856851514673624,bert
gcc,svm,16,0.5848998708010336,bert
gcc,svm,17,0.5690425836977561,bert
gcc,svm,18,0.561406482931581,bert
gcc,svm,19,0.5755430107526882,bert
gcc,svm,20,0.5838775718744453,bert
gcc,svm,21,0.5783132530120482,bert
gcc,svm,22,0.5747514204545454,bert
gcc,svm,23,0.5708851503567377,bert
gcc,svm,24,0.5873611011542046,bert
gcc,svm,25,0.5549296229338843,bert
gcc,svm,26,0.5741953698475437,bert
gcc,svm,27,0.5796519410977242,bert
gcc,svm,28,0.5811420173489139,bert
gcc,svm,29,0.5757390542185195,bert
gcc,svm,30,0.5421403849014803,bert
gcc,svm,31,0.5446954610877401,bert
gcc,svm,32,0.5782820317988273,bert
gcc,svm,33,0.5763052208835342,bert
gcc,svm,34,0.5814137308039746,bert
gcc,svm,35,0.556994623655914,bert
gcc,svm,36,0.5636641725668166,bert
gcc,svm,37,0.5990629183400268,bert
gcc,svm,38,0.5615954242272108,bert
gcc,svm,39,0.5685482708933718,bert
gcc,svm,40,0.5804298677012943,bert
gcc,svm,41,0.5769070169622136,bert
gcc,svm,42,0.5615518440571594,bert
gcc,svm,43,0.5735142118863049,bert
gcc,svm,44,0.5727842653430121,bert
gcc,svm,45,0.5854793311483174,bert
gcc,svm,46,0.5541967550335751,bert
gcc,svm,47,0.5676671890061011,bert
gcc,svm,48,0.5642258064516128,bert
gcc,svm,49,0.5654058511401119,bert
