Unnamed: 0,project,classifier,fold,balanced_acc,feature_extraction
102,eclipse,svm,2,0.5366205837173579,tf-idf
103,eclipse,svm,3,0.5196633254999761,tf-idf
104,eclipse,svm,4,0.52326627514682,tf-idf
105,eclipse,svm,5,0.535637493184663,tf-idf
106,eclipse,svm,6,0.5348813328342883,tf-idf
107,eclipse,svm,7,0.5466937600541868,tf-idf
108,eclipse,svm,8,0.5474866658992364,tf-idf
109,eclipse,svm,9,0.5396729406163369,tf-idf
110,eclipse,svm,10,0.5325833384492602,tf-idf
111,eclipse,svm,11,0.5179633074369916,tf-idf
112,eclipse,svm,12,0.5312960405156538,tf-idf
113,eclipse,svm,13,0.5398687688241441,tf-idf
114,eclipse,svm,14,0.5599320719960087,tf-idf
115,eclipse,svm,15,0.5303117588885369,tf-idf
116,eclipse,svm,16,0.5401352554654877,tf-idf
117,eclipse,svm,17,0.5486661749339234,tf-idf
118,eclipse,svm,18,0.5440519675854871,tf-idf
119,eclipse,svm,19,0.5397739917884963,tf-idf
120,eclipse,svm,20,0.5248129101584986,tf-idf
121,eclipse,svm,21,0.5331499396680881,tf-idf
122,eclipse,svm,22,0.5675287356321839,tf-idf
123,eclipse,svm,23,0.5378143813514424,tf-idf
124,eclipse,svm,24,0.5423560479715348,tf-idf
125,eclipse,svm,25,0.530362065690952,tf-idf
126,eclipse,svm,26,0.5390633548528285,tf-idf
127,eclipse,svm,27,0.5339441515688668,tf-idf
128,eclipse,svm,28,0.5463709677419355,tf-idf
129,eclipse,svm,29,0.5381290009457435,tf-idf
130,eclipse,svm,30,0.5230766277641278,tf-idf
131,eclipse,svm,31,0.5512631384842338,tf-idf
132,eclipse,svm,32,0.5445202260017075,tf-idf
133,eclipse,svm,33,0.529701051128567,tf-idf
134,eclipse,svm,34,0.523999385271489,tf-idf
135,eclipse,svm,35,0.5051545996069762,tf-idf
136,eclipse,svm,36,0.5400028398025186,tf-idf
137,eclipse,svm,37,0.5420363036874355,tf-idf
138,eclipse,svm,38,0.5569286844755648,tf-idf
139,eclipse,svm,39,0.5465661448741559,tf-idf
140,eclipse,svm,40,0.5355049913106738,tf-idf
141,eclipse,svm,41,0.5333659942363113,tf-idf
142,eclipse,svm,42,0.5359032022450313,tf-idf
143,eclipse,svm,43,0.5185362156145956,tf-idf
144,eclipse,svm,44,0.51947023018207,tf-idf
145,eclipse,svm,45,0.5432980533669443,tf-idf
146,eclipse,svm,46,0.5445295772484182,tf-idf
147,eclipse,svm,47,0.5416062315337093,tf-idf
148,eclipse,svm,48,0.5373802726100572,tf-idf
149,eclipse,svm,49,0.5217811807374572,tf-idf
150,eclipse,rf,0,0.5435124639282863,tf-idf
151,eclipse,rf,1,0.5557865557865558,tf-idf
152,eclipse,rf,2,0.542557603686636,tf-idf
153,eclipse,rf,3,0.5006292264159993,tf-idf
154,eclipse,rf,4,0.5320812387662319,tf-idf
155,eclipse,rf,5,0.5200409304182889,tf-idf
156,eclipse,rf,6,0.5195481722473344,tf-idf
157,eclipse,rf,7,0.5521778619314814,tf-idf
158,eclipse,rf,8,0.5478281723648364,tf-idf
159,eclipse,rf,9,0.5496482902143279,tf-idf
160,eclipse,rf,10,0.5403876849407576,tf-idf
161,eclipse,rf,11,0.5361636940584309,tf-idf
162,eclipse,rf,12,0.5416359729895641,tf-idf
163,eclipse,rf,13,0.547183293380048,tf-idf
164,eclipse,rf,14,0.5441493648539739,tf-idf
165,eclipse,rf,15,0.5390193085039989,tf-idf
166,eclipse,rf,16,0.545124815770081,tf-idf
167,eclipse,rf,17,0.5479401008052124,tf-idf
168,eclipse,rf,18,0.5382927128737185,tf-idf
169,eclipse,rf,19,0.5507520816545797,tf-idf
170,eclipse,rf,20,0.5146736001842116,tf-idf
171,eclipse,rf,21,0.5470598504075521,tf-idf
172,eclipse,rf,22,0.5505754809760894,tf-idf
173,eclipse,rf,23,0.5287694456485094,tf-idf
174,eclipse,rf,24,0.5313947172968896,tf-idf
175,eclipse,rf,25,0.5242681661131989,tf-idf
176,eclipse,rf,26,0.5373855637013532,tf-idf
177,eclipse,rf,27,0.5267981153648411,tf-idf
178,eclipse,rf,28,0.5531835637480799,tf-idf
179,eclipse,rf,29,0.5436269742155413,tf-idf
180,eclipse,rf,30,0.5527871621621622,tf-idf
181,eclipse,rf,31,0.5240756961091647,tf-idf
182,eclipse,rf,32,0.534649438353142,tf-idf
183,eclipse,rf,33,0.5197587989076093,tf-idf
184,eclipse,rf,34,0.5441499937566636,tf-idf
185,eclipse,rf,35,0.5096989376074674,tf-idf
186,eclipse,rf,36,0.5600944426215982,tf-idf
187,eclipse,rf,37,0.558680777722056,tf-idf
188,eclipse,rf,38,0.5547215960865186,tf-idf
189,eclipse,rf,39,0.5402624309392265,tf-idf
190,eclipse,rf,40,0.5306878520716778,tf-idf
191,eclipse,rf,41,0.55223823246878,tf-idf
192,eclipse,rf,42,0.5415984315534541,tf-idf
193,eclipse,rf,43,0.524726787753183,tf-idf
194,eclipse,rf,44,0.5464335111638017,tf-idf
195,eclipse,rf,45,0.542380083605271,tf-idf
196,eclipse,rf,46,0.5297203099346142,tf-idf
197,eclipse,rf,47,0.5510993438471279,tf-idf
198,eclipse,rf,48,0.5200198010683368,tf-idf
199,eclipse,rf,49,0.5519309557391363,tf-idf
200,eclipse,nn,0,0.5132198993061952,tf-idf
201,eclipse,nn,1,0.4977933398986031,tf-idf
202,eclipse,nn,2,0.5336059907834101,tf-idf
203,eclipse,nn,3,0.5088993333653062,tf-idf
204,eclipse,nn,4,0.5323907380886014,tf-idf
205,eclipse,nn,5,0.5289968591855385,tf-idf
206,eclipse,nn,6,0.5465465119626868,tf-idf
207,eclipse,nn,7,0.5185670522856197,tf-idf
208,eclipse,nn,8,0.5204616093012547,tf-idf
209,eclipse,nn,9,0.5494735872094363,tf-idf
210,eclipse,nn,10,0.5235857020074897,tf-idf
211,eclipse,nn,11,0.5059634533318744,tf-idf
212,eclipse,nn,12,0.511114947820749,tf-idf
213,eclipse,nn,13,0.534490441944803,tf-idf
214,eclipse,nn,14,0.5200541121387727,tf-idf
215,eclipse,nn,15,0.5201735941085539,tf-idf
216,eclipse,nn,16,0.5318487472365512,tf-idf
217,eclipse,nn,17,0.5345903251582764,tf-idf
218,eclipse,nn,18,0.5438793050524894,tf-idf
219,eclipse,nn,19,0.5425175549671923,tf-idf
220,eclipse,nn,20,0.5145719000652416,tf-idf
221,eclipse,nn,21,0.4985199977747212,tf-idf
222,eclipse,nn,22,0.5288739320179483,tf-idf
