project,classifier,feature-extraction,params
gnome,knn,bert,{'n_neighbors': 33}
gnome,nb,bert,{'var_smoothing': 0.006579332246575682}
gnome,svm,bert,"{'C': 1, 'gamma': 0.03125, 'kernel': 'rbf'}"
gnome,rf,bert,{'max_features': 50}
gnome,nn,bert,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (10, 20, 30, 40, 50), 'solver': 'adam'}"
