project,classifier,fold,balanced_acc,feature_extraction
freedesktop,vc,0,0.5549687010954616,bert
freedesktop,vc,1,0.580453251728049,bert
freedesktop,vc,2,0.5611721880415548,bert
freedesktop,vc,3,0.5962980318650422,bert
freedesktop,vc,4,0.5539012958367797,bert
freedesktop,vc,5,0.5656757838885272,bert
freedesktop,vc,6,0.5543451682316118,bert
freedesktop,vc,7,0.5517317395777201,bert
freedesktop,vc,8,0.5645774647887324,bert
freedesktop,vc,9,0.5486149065652999,bert
freedesktop,vc,10,0.562628590994274,bert
freedesktop,vc,11,0.5879120879120878,bert
freedesktop,vc,12,0.5420746989424782,bert
freedesktop,vc,13,0.5678994563385289,bert
freedesktop,vc,14,0.551049933862434,bert
freedesktop,vc,15,0.5640453113012327,bert
freedesktop,vc,16,0.5722122838401908,bert
freedesktop,vc,17,0.5694682675814751,bert
freedesktop,vc,18,0.5607329842931937,bert
freedesktop,vc,19,0.543349866813631,bert
freedesktop,vc,20,0.551358440613507,bert
freedesktop,vc,21,0.5781083790822502,bert
freedesktop,vc,22,0.5592845266040689,bert
freedesktop,vc,23,0.5506182214573981,bert
freedesktop,vc,24,0.5854199717017536,bert
freedesktop,vc,25,0.583644435475734,bert
freedesktop,vc,26,0.5743527626878089,bert
freedesktop,vc,27,0.5490275539134877,bert
freedesktop,vc,28,0.5832597051190016,bert
freedesktop,vc,29,0.5255386740331491,bert
freedesktop,vc,30,0.5437629705699869,bert
freedesktop,vc,31,0.5870711593990114,bert
freedesktop,vc,32,0.5469737422230931,bert
freedesktop,vc,33,0.5581143640961892,bert
freedesktop,vc,34,0.5625420988818537,bert
freedesktop,vc,35,0.5625557851492291,bert
freedesktop,vc,36,0.5705445128308613,bert
freedesktop,vc,37,0.552736017219924,bert
freedesktop,vc,38,0.561588164288209,bert
freedesktop,vc,39,0.5683898538737249,bert
freedesktop,vc,40,0.5624298322091191,bert
freedesktop,vc,41,0.5464119722296166,bert
freedesktop,vc,42,0.5546505758729867,bert
freedesktop,vc,43,0.5563513720680668,bert
freedesktop,vc,44,0.5715525793650793,bert
freedesktop,vc,45,0.552450117370892,bert
freedesktop,vc,46,0.5424992129209345,bert
freedesktop,vc,47,0.5476252374150887,bert
freedesktop,vc,48,0.5800506411276989,bert
freedesktop,vc,49,0.56262055662717,bert
