tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
493,379,0,835,Fold01,0.7779730521382543,0.6878088962108732,1,0.8439044481054365,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
508,365,0,836,Fold02,0.7864248098303102,0.6960865945045795,1,0.8480432972522898,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
522,351,0,835,Fold03,0.794496487119438,0.7040472175379426,1,0.8520236087689713,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
512,361,0,835,Fold04,0.7886416861826698,0.6981605351170569,1,0.8490802675585285,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
526,347,1,834,Fold05,0.7962529274004684,0.7061812023708721,0.9981024667931688,0.8521418345820204,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
527,346,1,834,Fold06,0.7968384074941453,0.7067796610169491,0.9981060606060606,0.8524428608115049,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
499,374,1,834,Fold07,0.7804449648711944,0.6903973509933775,0.998,0.8441986754966888,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
511,362,1,835,Fold08,0.7875950848449386,0.697577276524645,0.998046875,0.8478120757623224,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
506,367,0,835,Fold09,0.7851288056206089,0.6946755407653911,1,0.8473377703826955,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
508,365,0,835,Fold10,0.7862997658079626,0.6958333333333333,1,0.8479166666666667,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
510,363,1,834,Fold01,0.7868852459016393,0.6967418546365914,0.9980430528375733,0.8473924537370824,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
496,377,1,835,Fold02,0.7788180222352252,0.6889438943894389,0.9979879275653923,0.8434659109774156,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
528,345,1,835,Fold03,0.7975424224692803,0.7076271186440678,0.998109640831758,0.8528683797379129,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
506,367,0,835,Fold04,0.7851288056206089,0.6946755407653911,1,0.8473377703826955,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
512,360,0,835,Fold05,0.789103690685413,0.698744769874477,1,0.8493723849372385,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
515,358,0,835,Fold06,0.7903981264637002,0.6999161777032691,1,0.8499580888516345,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
509,364,1,834,Fold07,0.7862997658079626,0.6961602671118531,0.9980392156862745,0.8470997413990637,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
502,371,1,834,Fold08,0.7822014051522248,0.6921161825726141,0.9980119284294234,0.8450640555010187,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
508,365,0,835,Fold09,0.7862997658079626,0.6958333333333333,1,0.8479166666666667,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
498,375,1,834,Fold10,0.7798594847775175,0.6898263027295285,0.9979959919839679,0.8439111473567482,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold03,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold04,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,69,0,Fold05,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold06,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
872,0,69,0,Fold07,0.926673751328374,0,0.926673751328374,0.463336875664187,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold08,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold09,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,69,0,Fold10,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
873,0,70,0,Fold01,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,70,0,Fold03,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,70,0,Fold04,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,69,0,Fold05,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
