bug_id,bug_fix_time,long_lived,y_hat,project_name
BIRT-276798,2,N,N,eclipse
BIRT-279901,11,N,N,eclipse
BIRT-281305,3,N,N,eclipse
BIRT-281797,24,N,N,eclipse
BIRT-283360,9,N,N,eclipse
BIRT-283659,28,N,N,eclipse
BIRT-287410,1,N,N,eclipse
BIRT-288722,252,N,N,eclipse
BIRT-290551,228,N,N,eclipse
BIRT-291210,44,N,N,eclipse
BIRT-293532,0,N,N,eclipse
BIRT-298628,146,N,N,eclipse
BIRT-299515,104,N,N,eclipse
BIRT-305954,4,N,N,eclipse
BIRT-306659,1,N,N,eclipse
BIRT-314198,0,N,N,eclipse
BIRT-316093,8,N,N,eclipse
BIRT-324122,62,N,N,eclipse
BIRT-324123,259,N,N,eclipse
BIRT-326271,1172,Y,N,eclipse
BIRT-332084,0,N,N,eclipse
BIRT-339960,73,N,N,eclipse
BIRT-346735,368,Y,N,eclipse
BIRT-417048,5,N,N,eclipse
BIRT-83104,7,N,N,eclipse
BIRT-88542,13,N,N,eclipse
BIRT-96361,0,N,N,eclipse
BPEL-119990,608,Y,N,eclipse
BPEL-308600,106,N,N,eclipse
BUILDSHIP-465394,3,N,N,eclipse
CBI-436585,342,N,N,eclipse
CBI-465591,24,N,N,eclipse
CBI-487476,0,N,N,eclipse
CBI-506726,20,N,N,eclipse
CDT-102429,4,N,N,eclipse
CDT-10291,9,N,N,eclipse
CDT-103055,1,N,N,eclipse
CDT-103579,681,Y,N,eclipse
CDT-103844,642,Y,N,eclipse
CDT-107150,15,N,N,eclipse
CDT-119387,147,N,N,eclipse
CDT-122344,147,N,N,eclipse
CDT-151840,132,N,N,eclipse
CDT-169777,157,N,N,eclipse
CDT-173550,1,N,N,eclipse
CDT-179169,3,N,N,eclipse
CDT-180062,6,N,N,eclipse
CDT-184449,13,N,N,eclipse
CDT-189333,106,N,N,eclipse
CDT-195481,1,N,N,eclipse
CDT-196154,1174,Y,N,eclipse
CDT-203896,1,N,N,eclipse
CDT-207656,235,N,N,eclipse
CDT-211923,8,N,N,eclipse
CDT-215081,118,N,N,eclipse
CDT-216760,2,N,N,eclipse
CDT-219424,3,N,N,eclipse
CDT-231156,8,N,N,eclipse
CDT-231381,17,N,N,eclipse
CDT-240830,0,N,N,eclipse
CDT-256311,533,Y,N,eclipse
CDT-258151,1,N,N,eclipse
CDT-258768,1,N,Y,eclipse
CDT-265001,4,N,N,eclipse
CDT-268314,0,N,N,eclipse
CDT-268359,1,N,N,eclipse
CDT-270916,231,N,N,eclipse
CDT-274499,34,N,N,eclipse
CDT-275188,0,N,N,eclipse
CDT-275773,18,N,N,eclipse
CDT-277001,0,N,N,eclipse
CDT-277757,4,N,N,eclipse
CDT-279740,363,N,N,eclipse
CDT-281783,4,N,N,eclipse
CDT-287181,41,N,N,eclipse
CDT-289742,5,N,N,eclipse
CDT-295168,4,N,N,eclipse
CDT-299421,1,N,N,eclipse
CDT-300019,13,N,N,eclipse
CDT-305118,6,N,N,eclipse
CDT-309191,6,N,N,eclipse
CDT-321780,5,N,N,eclipse
CDT-324806,0,N,N,eclipse
CDT-326725,0,N,N,eclipse
CDT-326878,111,N,N,eclipse
CDT-331790,45,N,N,eclipse
CDT-338683,11,N,N,eclipse
CDT-342683,2,N,N,eclipse
CDT-345965,0,N,N,eclipse
CDT-359905,0,N,N,eclipse
CDT-36794,1,N,N,eclipse
CDT-368597,111,N,N,eclipse
CDT-36909,11,N,N,eclipse
CDT-371054,55,N,N,eclipse
CDT-378578,5,N,N,eclipse
CDT-39087,12,N,N,eclipse
CDT-39552,19,N,N,eclipse
CDT-398332,0,N,N,eclipse
CDT-399829,18,N,N,eclipse
CDT-403406,2,N,N,eclipse
CDT-409697,1,N,N,eclipse
CDT-431622,0,N,N,eclipse
CDT-434150,0,N,N,eclipse
CDT-434558,209,N,N,eclipse
CDT-436909,2,N,N,eclipse
CDT-43901,423,Y,N,eclipse
CDT-442754,87,N,N,eclipse
CDT-44335,181,N,N,eclipse
CDT-45763,488,Y,N,eclipse
CDT-475581,536,Y,N,eclipse
CDT-47595,0,N,N,eclipse
CDT-479638,98,N,N,eclipse
CDT-48860,126,N,N,eclipse
CDT-490359,672,Y,N,eclipse
CDT-490415,104,N,N,eclipse
CDT-514423,61,N,N,eclipse
CDT-518937,90,N,N,eclipse
CDT-52238,2,N,N,eclipse
CDT-58481,1,N,N,eclipse
CDT-60299,190,N,N,eclipse
CDT-64181,336,N,N,eclipse
CDT-65564,0,N,N,eclipse
CDT-68623,13,N,N,eclipse
CDT-70937,129,N,N,eclipse
CDT-72818,12,N,N,eclipse
CDT-75685,0,N,N,eclipse
CDT-77389,4,N,N,eclipse
CDT-78308,0,N,N,eclipse
CDT-78889,1290,Y,N,eclipse
CDT-82858,4,N,N,eclipse
CDT-84374,4,N,N,eclipse
CDT-86282,98,N,N,eclipse
CDT-86495,1713,Y,N,eclipse
CDT-87259,15,N,N,eclipse
CDT-87629,21,N,N,eclipse
CDT-95641,2,N,N,eclipse
CFT-485697,0,N,N,eclipse
CHEMCLIPSE-511956,208,N,N,eclipse
COMMUNITY-114070,4,N,N,eclipse
COMMUNITY-115112,0,N,N,eclipse
COMMUNITY-118835,0,N,N,eclipse
COMMUNITY-120252,2,N,N,eclipse
COMMUNITY-123294,342,N,N,eclipse
COMMUNITY-126140,241,N,N,eclipse
COMMUNITY-130584,0,N,N,eclipse
COMMUNITY-153790,0,N,N,eclipse
COMMUNITY-157707,368,Y,N,eclipse
COMMUNITY-162748,0,N,N,eclipse
COMMUNITY-173516,0,N,N,eclipse
COMMUNITY-178072,0,N,N,eclipse
COMMUNITY-187082,3,N,N,eclipse
COMMUNITY-196849,308,N,N,eclipse
COMMUNITY-206990,60,N,N,eclipse
COMMUNITY-211044,0,N,N,eclipse
COMMUNITY-212619,0,N,N,eclipse
COMMUNITY-213224,66,N,N,eclipse
COMMUNITY-215327,0,N,N,eclipse
COMMUNITY-221664,609,Y,N,eclipse
COMMUNITY-226321,20,N,N,eclipse
COMMUNITY-232830,1,N,N,eclipse
COMMUNITY-236640,0,N,N,eclipse
COMMUNITY-239088,71,N,N,eclipse
COMMUNITY-252007,38,N,N,eclipse
COMMUNITY-252027,0,N,N,eclipse
COMMUNITY-257135,0,N,N,eclipse
COMMUNITY-258532,0,N,N,eclipse
COMMUNITY-262127,46,N,N,eclipse
COMMUNITY-272840,1,N,N,eclipse
COMMUNITY-275753,35,N,N,eclipse
COMMUNITY-289597,0,N,N,eclipse
COMMUNITY-291199,591,Y,N,eclipse
COMMUNITY-292476,1,N,N,eclipse
COMMUNITY-296860,62,N,N,eclipse
COMMUNITY-301065,196,N,N,eclipse
COMMUNITY-302076,2,N,N,eclipse
COMMUNITY-309906,44,N,N,eclipse
COMMUNITY-315410,0,N,N,eclipse
COMMUNITY-317440,19,N,N,eclipse
COMMUNITY-321984,0,N,N,eclipse
COMMUNITY-326075,1,N,N,eclipse
COMMUNITY-326508,0,N,N,eclipse
COMMUNITY-328049,0,N,N,eclipse
COMMUNITY-331397,1024,Y,Y,eclipse
COMMUNITY-333412,0,N,N,eclipse
COMMUNITY-335969,1847,Y,N,eclipse
COMMUNITY-346515,0,N,N,eclipse
COMMUNITY-359240,313,N,N,eclipse
COMMUNITY-360447,1,N,N,eclipse
COMMUNITY-370545,0,N,N,eclipse
COMMUNITY-376631,140,N,N,eclipse
COMMUNITY-376649,764,Y,N,eclipse
COMMUNITY-378018,307,N,N,eclipse
COMMUNITY-384845,99,N,N,eclipse
COMMUNITY-386150,0,N,N,eclipse
COMMUNITY-387561,278,N,N,eclipse
COMMUNITY-387700,0,N,N,eclipse
COMMUNITY-389707,583,Y,Y,eclipse
COMMUNITY-389717,9,N,N,eclipse
COMMUNITY-390940,0,N,N,eclipse
COMMUNITY-391800,0,N,N,eclipse
COMMUNITY-396183,49,N,N,eclipse
COMMUNITY-400584,8,N,N,eclipse
COMMUNITY-401628,171,N,N,eclipse
COMMUNITY-401660,0,N,N,eclipse
COMMUNITY-406837,0,N,N,eclipse
COMMUNITY-409635,0,N,N,eclipse
COMMUNITY-410496,1246,Y,N,eclipse
COMMUNITY-416407,0,N,N,eclipse
COMMUNITY-420218,1,N,N,eclipse
COMMUNITY-420317,7,N,N,eclipse
COMMUNITY-421548,0,N,N,eclipse
COMMUNITY-427525,1006,Y,N,eclipse
COMMUNITY-429177,338,N,N,eclipse
COMMUNITY-431229,0,N,N,eclipse
COMMUNITY-435093,26,N,N,eclipse
COMMUNITY-435437,13,N,N,eclipse
COMMUNITY-435920,15,N,N,eclipse
COMMUNITY-438630,146,N,N,eclipse
COMMUNITY-439373,158,N,N,eclipse
COMMUNITY-439918,39,N,N,eclipse
COMMUNITY-440234,1577,Y,N,eclipse
COMMUNITY-441197,0,N,N,eclipse
COMMUNITY-442795,0,N,N,eclipse
COMMUNITY-444307,0,N,N,eclipse
COMMUNITY-445050,180,N,N,eclipse
COMMUNITY-448538,6,N,N,eclipse
COMMUNITY-456669,1323,Y,N,eclipse
COMMUNITY-463211,4,N,N,eclipse
COMMUNITY-463796,43,N,N,eclipse
COMMUNITY-467428,5,N,N,eclipse
COMMUNITY-467701,26,N,N,eclipse
COMMUNITY-467756,1,N,N,eclipse
COMMUNITY-468044,19,N,N,eclipse
COMMUNITY-468068,26,N,N,eclipse
COMMUNITY-469200,15,N,N,eclipse
COMMUNITY-479373,1,N,N,eclipse
COMMUNITY-482437,1,N,N,eclipse
COMMUNITY-490720,7,N,Y,eclipse
COMMUNITY-491017,457,Y,N,eclipse
COMMUNITY-494458,8,N,N,eclipse
COMMUNITY-494463,8,N,N,eclipse
COMMUNITY-497464,729,Y,N,eclipse
COMMUNITY-499450,43,N,N,eclipse
COMMUNITY-500202,0,N,N,eclipse
COMMUNITY-500771,3,N,N,eclipse
COMMUNITY-502591,96,N,N,eclipse
COMMUNITY-507898,0,N,N,eclipse
COMMUNITY-508205,12,N,N,eclipse
