tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
1676,69,1,1670,Fold1.Rep06,0.9795081967213115,0.9603220241518113,0.9994036970781157,0.9798628606149635,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1690,56,5,1665,Fold2.Rep06,0.9821428571428571,0.9674607786170831,0.9970501474926253,0.9822554630548542,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1688,58,5,1665,Fold3.Rep06,0.9815573770491803,0.9663377829367382,0.9970466627288836,0.9816922228328109,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1694,52,7,1664,Fold4.Rep06,0.9827333918642084,0.9696969696969697,0.9958847736625515,0.9827908716797606,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1690,56,2,1668,Fold5.Rep06,0.9830210772833724,0.9675174013921114,0.9988179669030733,0.9831676841475924,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1684,62,8,1662,Fold1.Rep07,0.9795081967213115,0.9640371229698376,0.9952718676122931,0.9796544952910653,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1686,60,3,1668,Fold2.Rep07,0.9815627743634767,0.9652777777777778,0.9982238010657194,0.9817507894217485,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1691,55,4,1666,Fold3.Rep07,0.982728337236534,0.9680418361417781,0.9976401179941002,0.9828409770679392,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1682,64,5,1665,Fold4.Rep07,0.9798009367681498,0.9629843840370156,0.997036158861885,0.9800102714494503,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1698,47,6,1665,Fold5.Rep07,0.9844847775175644,0.9725467289719626,0.9964788732394366,0.9845128011056996,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
