tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
378,276,2,624,Fold02,0.7828125,0.6933333333333334,0.9947368421052631,0.8440350877192982,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
365,289,1,625,Fold03,0.7734375,0.6838074398249453,0.9972677595628415,0.8405375996938934,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
371,284,1,626,Fold04,0.7776911076443058,0.6879120879120879,0.9973118279569892,0.8426119579345386,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
359,296,0,626,Fold05,0.7689305230288837,0.6789587852494577,1,0.8394793926247288,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
391,264,0,627,Fold06,0.7940717628705148,0.7037037037037037,1,0.8518518518518519,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
383,272,0,627,Fold07,0.7878315132605305,0.6974416017797553,1,0.8487208008898777,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
374,281,1,625,Fold08,0.7798594847775175,0.6898454746136865,0.9973333333333333,0.8435894039735099,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
384,271,1,626,Fold09,0.7878315132605305,0.6978818283166109,0.9974025974025974,0.8476422128596042,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
373,282,0,626,Fold10,0.7798594847775175,0.6894273127753304,1,0.8447136563876652,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,2293,1
378,276,0,627,Fold01,0.7845433255269321,0.6943521594684385,1,0.8471760797342193,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
362,293,0,626,Fold02,0.7712724434035909,0.6811751904243744,1,0.8405875952121872,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
365,290,0,626,Fold03,0.7736143637782982,0.6834061135371179,1,0.8417030567685589,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
377,278,0,626,Fold04,0.7829820452771272,0.6924778761061947,1,0.8462389380530974,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
364,290,0,626,Fold05,0.7734375,0.6834061135371179,1,0.8417030567685589,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
411,244,1,625,Fold06,0.8087431693989071,0.7192174913693901,0.9975728155339806,0.8583951534516854,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
370,284,2,625,Fold07,0.7767369242779079,0.6875687568756875,0.9946236559139785,0.8410962063948331,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
375,280,1,626,Fold08,0.780811232449298,0.6909492273730684,0.9973404255319149,0.8441448264524917,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
397,258,2,625,Fold09,0.797191887675507,0.7078142695356738,0.9949874686716792,0.8514008691036765,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
354,301,1,625,Fold10,0.7642466822794691,0.6749460043196545,0.9971830985915493,0.8360645514556019,eclipse,knn,smote,cv10,Accuracy,100,long_description,k,5,NA,0,NA,0,3581,1
655,0,52,0,Fold01,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,52,0,Fold02,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,53,0,Fold03,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,52,0,Fold04,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
654,0,52,0,Fold05,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,52,0,Fold06,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
654,0,52,0,Fold07,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,52,0,Fold08,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,53,0,Fold09,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
654,0,52,0,Fold10,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,144,2
655,0,52,0,Fold01,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,52,0,Fold02,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,53,0,Fold03,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
