tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
967,779,1,1669,Fold2.Rep06,0.7716627634660421,0.681781045751634,0.9989669421487604,0.8403739939501972,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
972,774,0,1670,Fold3.Rep06,0.7734192037470726,0.6833060556464812,1,0.8416530278232406,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
999,747,3,1668,Fold4.Rep06,0.7805092186128183,0.6906832298136646,0.9970059880239521,0.8438446089188083,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1010,736,0,1670,Fold5.Rep06,0.7845433255269321,0.6940980881130507,1,0.8470490440565254,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
998,748,1,1669,Fold1.Rep07,0.7807377049180327,0.6905254447662391,0.998998998998999,0.8447622218826191,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
976,770,2,1669,Fold2.Rep07,0.7740708223587943,0.6842968429684296,0.9979550102249489,0.8411259265966893,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
995,751,0,1670,Fold3.Rep07,0.780152224824356,0.6897976042957455,1,0.8448988021478727,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
980,766,1,1669,Fold4.Rep07,0.7754683840749415,0.6854209445585215,0.9989806320081549,0.8422007882833382,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
988,757,3,1668,Fold5.Rep07,0.7775175644028103,0.6878350515463918,0.9969727547931383,0.842403903169765,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
991,755,0,1670,Fold1.Rep08,0.7789812646370023,0.688659793814433,1,0.8443298969072165,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
983,763,2,1668,Fold2.Rep08,0.7760538641686182,0.686137392019745,0.9979695431472081,0.8420534675834765,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
990,755,1,1670,Fold3.Rep08,0.7786885245901639,0.688659793814433,0.9989909182643795,0.8438253560394062,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
959,787,0,1671,Fold4.Rep08,0.7696810067310507,0.6798209926769732,1,0.8399104963384866,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1006,740,2,1668,Fold5.Rep08,0.7827868852459017,0.6926910299003323,0.998015873015873,0.8453534514581027,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
994,752,2,1669,Fold1.Rep09,0.7793386011120866,0.6893845518380834,0.9979919678714859,0.8436882598547847,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
951,794,0,1670,Fold2.Rep09,0.7674963396778917,0.6777597402597403,1,0.8388798701298701,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
996,750,1,1669,Fold3.Rep09,0.780152224824356,0.6899545266639107,0.9989969909729187,0.8444757588184146,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
966,780,1,1670,Fold4.Rep09,0.7714369329821481,0.6816326530612244,0.9989658738366081,0.8402992634489163,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1002,744,1,1669,Fold5.Rep09,0.7819086651053864,0.6916701201823456,0.9990029910269193,0.8453365556046324,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
961,785,0,1670,Fold1.Rep10,0.7701990632318502,0.6802443991853361,1,0.840122199592668,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
974,771,1,1670,Fold2.Rep10,0.7740046838407494,0.6841458418680868,0.9989743589743589,0.8415601004212229,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
961,785,1,1670,Fold3.Rep10,0.7699736611062336,0.6802443991853361,0.998960498960499,0.8396024490729175,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
992,754,0,1670,Fold4.Rep10,0.7792740046838408,0.6889438943894389,1,0.8444719471947195,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1009,737,1,1669,Fold5.Rep10,0.7839578454332553,0.6936824605153782,0.999009900990099,0.8463461807527386,eclipse,knn,smote,repeatedcv5x10,Accuracy,100,long_description,k,5,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep01,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold2.Rep01,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold3.Rep01,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep01,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold5.Rep01,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep02,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold2.Rep02,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold3.Rep02,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold4.Rep02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold5.Rep02,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold1.Rep03,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold2.Rep03,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold3.Rep03,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep03,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold5.Rep03,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep04,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold2.Rep04,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold3.Rep04,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep04,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold5.Rep04,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep05,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold2.Rep05,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold3.Rep05,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep05,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold5.Rep05,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep06,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold2.Rep06,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold3.Rep06,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep06,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold5.Rep06,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold1.Rep07,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
