tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
282,195,260,209,Fold09,0.5190274841437632,0.5173267326732673,0.5202952029520295,0.5188109678126485,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
291,186,257,212,Fold10,0.5317124735729387,0.5326633165829145,0.531021897810219,0.5318426071965667,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,1087,1
296,181,274,196,Fold01,0.5195353748680043,0.519893899204244,0.519298245614035,0.5195960724091395,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
292,185,264,206,Fold02,0.5258711721224921,0.5268542199488491,0.5251798561151079,0.5260170380319784,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
321,156,259,211,Fold03,0.5617740232312566,0.5749318801089919,0.553448275862069,0.5641900779855304,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
316,161,247,223,Fold04,0.5691657866948258,0.5807291666666666,0.5612788632326821,0.5710040149496743,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
302,175,249,221,Fold05,0.5522703273495249,0.5580808080808081,0.5480943738656987,0.5530875909732533,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
311,167,264,205,Fold06,0.5448785638859557,0.5510752688172043,0.5408695652173913,0.5459724170172977,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
312,166,271,198,Fold07,0.5385427666314678,0.5439560439560439,0.5351629502572899,0.5395594971066668,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
298,179,282,187,Fold08,0.5126849894291755,0.5109289617486339,0.5137931034482759,0.5123610325984549,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
311,167,261,209,Fold09,0.5485232067510548,0.5558510638297872,0.5437062937062938,0.5497786787680405,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
307,171,272,197,Fold10,0.53220696937698,0.5353260869565217,0.5302245250431779,0.5327753059998498,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,2293,1
273,204,254,215,Fold01,0.5158562367864693,0.513126491646778,0.5180265654648957,0.5155765285558369,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
313,164,262,208,Fold02,0.5501583949313622,0.5591397849462365,0.5443478260869565,0.5517438055165965,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
291,187,259,211,Fold03,0.5295358649789029,0.5301507537688442,0.5290909090909091,0.5296208314298767,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
324,154,271,199,Fold04,0.5516877637130801,0.5637393767705382,0.5445378151260504,0.5541385959482943,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
308,169,254,215,Fold05,0.5528541226215645,0.5598958333333334,0.5480427046263345,0.5539692689798339,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
302,175,268,202,Fold06,0.53220696937698,0.5358090185676393,0.5298245614035088,0.532816789985574,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
315,162,274,196,Fold07,0.5395987328405492,0.547486033519553,0.534804753820034,0.5411453936697935,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
314,164,244,226,Fold08,0.569620253164557,0.5794871794871795,0.5627240143369175,0.5711055969120485,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
297,180,260,209,Fold09,0.5348837209302325,0.5372750642673522,0.533213644524237,0.5352443543957945,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
294,184,269,200,Fold10,0.5216473072861668,0.5208333333333334,0.522202486678508,0.5215179100059206,eclipse,svm,smote,cv10,Accuracy,150,long_description,8,sigma,0.03125,C,32,3581,1
659,49,92,386,Fold01,0.8811129848229342,0.8873563218390804,0.877496671105193,0.8824264964721367,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
662,46,103,375,Fold02,0.8743676222596964,0.8907363420427553,0.865359477124183,0.8780479095834692,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
639,69,111,368,Fold03,0.8483572030328559,0.8421052631578947,0.852,0.8470526315789473,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
656,52,120,358,Fold04,0.8549747048903878,0.8731707317073171,0.845360824742268,0.8592657782247926,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
656,51,101,378,Fold05,0.8718381112984823,0.8811188811188811,0.8665785997357992,0.8738487404273402,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
649,59,97,382,Fold06,0.8685762426284751,0.8662131519274376,0.8699731903485255,0.8680931711379816,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
650,57,107,372,Fold07,0.8617200674536256,0.8671328671328671,0.8586525759577279,0.8628927215452975,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
655,53,111,368,Fold08,0.8618365627632687,0.8741092636579573,0.8550913838120104,0.8646003237349839,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
652,56,106,372,Fold09,0.863406408094435,0.8691588785046729,0.8601583113456465,0.8646585949251597,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
645,62,102,377,Fold10,0.8617200674536256,0.8587699316628702,0.8634538152610441,0.8611118734619572,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,144,2
654,54,97,382,Fold01,0.8727885425442291,0.8761467889908257,0.8708388814913449,0.8734928352410853,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
648,60,126,353,Fold02,0.8433024431339511,0.8547215496368039,0.8372093023255814,0.8459654259811926,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
662,46,105,374,Fold03,0.8727885425442291,0.8904761904761904,0.863102998696219,0.8767895945862048,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
637,71,112,366,Fold04,0.845699831365936,0.8375286041189931,0.8504672897196262,0.8439979469193096,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
654,54,121,357,Fold05,0.8524451939291737,0.8686131386861314,0.8438709677419355,0.8562420532140335,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
652,55,108,370,Fold06,0.8624472573839662,0.8705882352941177,0.8578947368421053,0.8642414860681115,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
656,51,113,366,Fold07,0.8617200674536256,0.8776978417266187,0.8530559167750326,0.8653768792508256,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
657,51,105,374,Fold08,0.8685762426284751,0.88,0.8622047244094488,0.8711023622047245,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
639,69,115,363,Fold09,0.8448566610455311,0.8402777777777778,0.8474801061007957,0.8438789419392867,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
645,62,103,376,Fold10,0.8608768971332209,0.8584474885844748,0.8622994652406417,0.8603734769125583,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,283,2
663,45,125,354,Fold01,0.8567818028643639,0.8872180451127819,0.8413705583756346,0.8642943017442082,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
