tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,train_metric,max_term,feature,threshold,train_size,train_size_class_0,train_size_class_1,seed
83,0,1,68,Fold08,0.993421052631579,1,0.9880952380952381,0.9940476190476191,gcc,svm,smote,cv10,Accuracy,150,long_description,365,1515,827,688,144
57,2,34,7,Fold07,0.64,0.7777777777777778,0.6263736263736264,0.702075702075702,winehq,svm,smote,cv10,Accuracy,150,long_description,365,999,587,412,144
