tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,classifier,balancing,resampling,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
764,1,60,0,Fold05,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,0,Fold06,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
764,1,60,0,Fold07,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,0,Fold08,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
765,0,60,1,Fold09,0.927360774818402,1,0.9272727272727272,0.9636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
763,3,60,0,Fold10,0.923728813559322,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,2293,1
761,4,58,2,Fold01,0.9248484848484848,0.3333333333333333,0.9291819291819292,0.6312576312576312,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
765,0,60,0,Fold02,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
765,0,60,0,Fold03,0.9272727272727272,0,0.9272727272727272,0.4636363636363636,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
766,0,60,0,Fold04,0.927360774818402,0,0.927360774818402,0.463680387409201,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
764,1,60,0,Fold05,0.926060606060606,0,0.9271844660194175,0.46359223300970875,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
763,2,60,0,Fold06,0.9248484848484848,0,0.9270959902794653,0.46354799513973266,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
764,1,59,1,Fold07,0.9272727272727272,0.5,0.928311057108141,0.7141555285540705,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
